Btl_Cnt,Cst_Cnt,Depth_ID,Depthm,T_degC,O2ml_L,R_Depth,Unnamed: 0,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec
728477,29339,20-0001NM-PR-007-2019-09330267-0000B-7,0,14.4,6.01,0.0,29338.0,20-0001NM-PR-007-2019-09330267,1.0,01/07/2000,2000.0,1.0,32.958333,-117.303333
728491,29340,20-0001NM-MX-007-2347-09330280-0000B-7,0,14.73,6.01,0.0,29339.0,20-0001NM-MX-007-2347-09330280,1.0,01/07/2000,2000.0,1.0,32.91,-117.391666
728522,29341,20-0001NM-MX-008-0256-09330300-0000B-7,0,14.72,6.03,0.0,29340.0,20-0001NM-MX-008-0256-09330300,1.0,01/08/2000,2000.0,1.0,32.85,-117.53
728553,29342,20-0001NM-MX-008-0708-09330350-0000B-7,0,14.27,5.98,0.0,29341.0,20-0001NM-MX-008-0708-09330350,1.0,01/08/2000,2000.0,1.0,32.678333,-117.876666
728586,29343,20-0001NM-MX-008-1119-09330400-0000B-7,0,14.52,5.98,0.0,29342.0,20-0001NM-MX-008-1119-09330400,1.0,01/08/2000,2000.0,1.0,32.513333,-118.215
728615,29344,20-0001NM-PR-008-1832-09330450-0000B-7,0,14.97,5.93,0.0,29343.0,20-0001NM-PR-008-1832-09330450,1.0,01/08/2000,2000.0,1.0,32.348333,-118.578333
728650,29345,20-0001NM-MX-008-2138-09330500-0000B-7,0,14.24,6.05,0.0,29344.0,20-0001NM-MX-008-2138-09330500,1.0,01/08/2000,2000.0,1.0,32.176666,-118.891666
728682,29346,20-0001NM-MX-009-0214-09330550-0000B-7,0,14.19,5.97,0.0,29345.0,20-0001NM-MX-009-0214-09330550,1.0,01/09/2000,2000.0,1.0,32.003333,-119.238333
728716,29347,20-0001NM-MX-009-0616-09330600-0000B-7,0,14.21,5.95,0.0,29346.0,20-0001NM-MX-009-0616-09330600,1.0,01/09/2000,2000.0,1.0,31.846666,-119.573333
728747,29348,20-0001NM-MX-009-1240-09330700-0000B-7,0,15.19,5.8,0.0,29347.0,20-0001NM-MX-009-1240-09330700,1.0,01/09/2000,2000.0,1.0,31.518333,-120.255
728779,29349,20-0001NM-PR-009-1927-09330800-0000B-7,0,14.48,5.94,0.0,29348.0,20-0001NM-PR-009-1927-09330800,1.0,01/09/2000,2000.0,1.0,31.19,-120.905
728814,29350,20-0001NM-MX-010-0309-09330900-0000B-7,0,14.81,5.89,0.0,29349.0,20-0001NM-MX-010-0309-09330900,1.0,01/10/2000,2000.0,1.0,30.846666,-121.59
728846,29351,20-0001NM-MX-010-0928-09331000-0000B-7,0,15.66,5.73,0.0,29350.0,20-0001NM-MX-010-0928-09331000,1.0,01/10/2000,2000.0,1.0,30.513333,-122.265
728878,29352,20-0001NM-PR-010-1836-09331100-0000B-7,0,15.91,5.75,0.0,29351.0,20-0001NM-PR-010-1836-09331100,1.0,01/10/2000,2000.0,1.0,30.186666,-122.938333
728913,29353,20-0001NM-MX-010-2358-09331200-0000B-7,0,16.18,5.69,0.0,29352.0,20-0001NM-MX-010-2358-09331200,1.0,01/10/2000,2000.0,1.0,29.848333,-123.586666
728946,29354,20-0001NM-MX-011-0559-09001200-0000B-7,0,16.03,5.71,0.0,29353.0,20-0001NM-MX-011-0559-09001200,1.0,01/11/2000,2000.0,1.0,30.42,-123.998333
728980,29355,20-0001NM-MX-011-1227-09001100-0000B-7,0,15.7,5.74,0.0,29354.0,20-0001NM-MX-011-1227-09001100,1.0,01/11/2000,2000.0,1.0,30.748333,-123.335
729010,29356,20-0001NM-PR-011-1901-09001000-0000B-7,0,15.84,5.71,0.0,29355.0,20-0001NM-PR-011-1901-09001000,1.0,01/11/2000,2000.0,1.0,31.086666,-122.668333
729045,29357,20-0001NM-MX-012-0213-09000900-0000B-7,0,14.26,5.99,0.0,29356.0,20-0001NM-MX-012-0213-09000900,1.0,01/12/2000,2000.0,1.0,31.415,-121.99
729078,29358,20-0001NM-MX-012-0847-09000800-0000B-7,0,15.31,5.77,0.0,29357.0,20-0001NM-MX-012-0847-09000800,1.0,01/12/2000,2000.0,1.0,31.746666,-121.321666
729111,29359,20-0001NM-PR-012-1823-09000700-0000B-7,0,14.31,5.93,0.0,29358.0,20-0001NM-PR-012-1823-09000700,1.0,01/12/2000,2000.0,1.0,32.093333,-120.651666
729145,29360,20-0001NM-MX-012-2327-09000600-0000B-7,0,14.72,5.91,0.0,29359.0,20-0001NM-MX-012-2327-09000600,1.0,01/12/2000,2000.0,1.0,32.413333,-119.958333
729177,29361,20-0001NM-MX-013-0434-09000530-0000B-7,0,13.14,5.96,0.0,29360.0,20-0001NM-MX-013-0434-09000530,1.0,01/13/2000,2000.0,1.0,32.646666,-119.483333
729208,29362,20-0001NM-MX-014-0902-09000450-0000B-7,0,14.06,6.02,0.0,29361.0,20-0001NM-MX-014-0902-09000450,1.0,01/14/2000,2000.0,1.0,32.918333,-118.936666
729240,29363,20-0001NM-MX-014-1434-09000370-0000B-7,0,14.3,5.96,0.0,29362.0,20-0001NM-MX-014-1434-09000370,1.0,01/14/2000,2000.0,1.0,33.188333,-118.393333
729271,29364,20-0001NM-PR-014-1825-09000350-0000B-7,0,14.36,6.02,0.0,29363.0,20-0001NM-PR-014-1825-09000350,1.0,01/14/2000,2000.0,1.0,33.256666,-118.255
