Field Name,Units,Description
Cst_Cnt,n.a.,"Cast Count - All CalCOFI casts ever conducted, consecutively numbered"
Cruise_ID,n.a.,Cruise identifier [Year]-[Month]-[Day]-C-[Ship Code]
Cruise,n.a.,Cruise Name [Year][Month]
Cruz_Sta,n.a.,Cruise Name and Station [Year][Month][Line][Station]
DbSta_ID,n.a.,Line and Station
Cast_ID,n.a.,Cast Identifier [Century] - [YY][MM][ShipCode] - [CastType][Julian Day] - [CastTime]-[Line][Sta]
Sta_ID,n.a.,Line and Station
Quarter,n.a.,Quarter of the year
Sta_Code,n.a.,Station Designation (See Station_ID and 0-St_Code for codes)
Distance,nautical miles,"Nautical miles from coast intercept, calculated from estimated latitude and longitude"
Date,time,Date (Month Day Year)
Year,n.a.,Year
Month,n.a.,Month
Julian_Date,n.a.,"OA Date: days since December 30, 1899"
Julian_Day,n.a.,Julian Day of the year
Time,time,Time (UTC) CTD reached terminal depth
Lat_Dec,decimal degrees,Observed Latitude in decimal degrees
Lat_Deg,degrees,Observed Latitude in degrees
Lat_Min,minutes,Observed Latitude in minutes
Lat_Hem,n.a.,Observed Latitude Hemisphere
Lon_Dec,decimal degrees,Observed Longitude in decimal degrees
Lon_Deg,degrees,Observed Longitude in degrees
Lon_Min,minutes,Observed Longitude in minutes
Lon_Hem,n.a.,Observed Longitude Hemisphere
Rpt_Line,n.a.,Reported Line Number
St_Line,n.a.,Nearest Standard Line
Ac_Line,n.a.,Calculated actual line from observed latitude and longitude
Rpt_Sta,n.a.,Reported Station Number
St_Station,n.a.,Nearest Standard Station Number
Ac_Sta,n.a.,Calculated actual station from observed lat and long
Bottom_D,meters,Bottom depth in meters
Ship Name,n.a.,Ship's Name
Ship Code,n.a.,Ship's NODC Code
Data_Type,n.a.,Data Type
Order_Occ,n.a.,Order station was occupied (within each cruise)
Event_Num,n.a.,"Event number; includes all research opperations within each cruise (e.g. nets, CTD)"
Cruz_Leg,n.a.,"Leg of cruise, if multiple legs"
Orig_Sta_ID,n.a.,IEH Reported Station ID
Data_Or,n.a., 
Cruz_Num,n.a.,Cruise Designation (Year Month)
IntChl,milligrams chl per square meter per half light day,Integrated Chlorophyll per half light day
IntC14,milligrams C per square meter per half light day,Integrated Primary Productivity per half light day
Inc_Str,time,Incubation Start Time (PST)
Inc_End,time,Incubation End Time (PST)
PST_LAN,time,Time of Local Apparent Noon (PST)
Civil_T,time,Time of Civil Twilight (PST)
TimeZone,n.a.,Time Zone
Wave_Dir,deg,"Wave Direction reported using an abbreviated 360° azimuth circle with 00 representing True North, 18 represents 180°"
Wave_Ht,feet,Wave Height in feet
Wave_Prd,seconds,Wave Period in seconds
Wind_Dir,degrees,"Reported using an abbreviated 360° azimuth circle with 0 representing True North, 18 representing 180°"
Wind_Spd,knots,Wind Speed in knots
Barometer,millibars,Millibars to the tenths
Dry_T,degrees Celcius,Dry Air Temperature from a Sling Psychrometer in degrees Celcius
Wet_T,degrees Celcius,Wet Air Temperature from a Sling Psychrometer in degrees Celcius
Wea,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 4501"
Cloud_Typ,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 0500"
Cloud_Amt,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 2700, in oktas"
Visibility,n.a.,"1 Digit Code from The World Meteorlogical Organization, Code source WMO 4300"
Secchi,meters,Secchi disk depth in meters
ForelU,Forel-Ule Scale,Water color; Only used in CalCOFI dataset from 1988-10 through 1998-04
