,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID
29338,29339,20-0001NM-PR-007-2019-09330267,1,01/07/2000,2000,1,32.958333,-117.303333,093.3 026.7
29339,29340,20-0001NM-MX-007-2347-09330280,1,01/07/2000,2000,1,32.91,-117.391666,093.3 028.0
29340,29341,20-0001NM-MX-008-0256-09330300,1,01/08/2000,2000,1,32.85,-117.53,093.3 030.0
29341,29342,20-0001NM-MX-008-0708-09330350,1,01/08/2000,2000,1,32.678333,-117.876666,093.3 035.0
29342,29343,20-0001NM-MX-008-1119-09330400,1,01/08/2000,2000,1,32.513333,-118.215,093.3 040.0
29343,29344,20-0001NM-PR-008-1832-09330450,1,01/08/2000,2000,1,32.348333,-118.578333,093.3 045.0
29344,29345,20-0001NM-MX-008-2138-09330500,1,01/08/2000,2000,1,32.176666,-118.891666,093.3 050.0
29345,29346,20-0001NM-MX-009-0214-09330550,1,01/09/2000,2000,1,32.003333,-119.238333,093.3 055.0
29346,29347,20-0001NM-MX-009-0616-09330600,1,01/09/2000,2000,1,31.846666,-119.573333,093.3 060.0
29347,29348,20-0001NM-MX-009-1240-09330700,1,01/09/2000,2000,1,31.518333,-120.255,093.3 070.0
29348,29349,20-0001NM-PR-009-1927-09330800,1,01/09/2000,2000,1,31.19,-120.905,093.3 080.0
29349,29350,20-0001NM-MX-010-0309-09330900,1,01/10/2000,2000,1,30.846666,-121.59,093.3 090.0
29350,29351,20-0001NM-MX-010-0928-09331000,1,01/10/2000,2000,1,30.513333,-122.265,093.3 100.0
29351,29352,20-0001NM-PR-010-1836-09331100,1,01/10/2000,2000,1,30.186666,-122.938333,093.3 110.0
29352,29353,20-0001NM-MX-010-2358-09331200,1,01/10/2000,2000,1,29.848333,-123.586666,093.3 120.0
29353,29354,20-0001NM-MX-011-0559-09001200,1,01/11/2000,2000,1,30.42,-123.998333,090.0 120.0
29354,29355,20-0001NM-MX-011-1227-09001100,1,01/11/2000,2000,1,30.748333,-123.335,090.0 110.0
29355,29356,20-0001NM-PR-011-1901-09001000,1,01/11/2000,2000,1,31.086666,-122.668333,090.0 100.0
29356,29357,20-0001NM-MX-012-0213-09000900,1,01/12/2000,2000,1,31.415,-121.99,090.0 090.0
29357,29358,20-0001NM-MX-012-0847-09000800,1,01/12/2000,2000,1,31.746666,-121.321666,090.0 080.0
29358,29359,20-0001NM-PR-012-1823-09000700,1,01/12/2000,2000,1,32.093333,-120.651666,090.0 070.0
29359,29360,20-0001NM-MX-012-2327-09000600,1,01/12/2000,2000,1,32.413333,-119.958333,090.0 060.0
29360,29361,20-0001NM-MX-013-0434-09000530,1,01/13/2000,2000,1,32.646666,-119.483333,090.0 053.0
29361,29362,20-0001NM-MX-014-0902-09000450,1,01/14/2000,2000,1,32.918333,-118.936666,090.0 045.0
29362,29363,20-0001NM-MX-014-1434-09000370,1,01/14/2000,2000,1,33.188333,-118.393333,090.0 037.0
29363,29364,20-0001NM-PR-014-1825-09000350,1,01/14/2000,2000,1,33.256666,-118.255,090.0 035.0
29364,29365,20-0001NM-MX-014-2245-09000300,1,01/14/2000,2000,1,33.418333,-117.908333,090.0 030.0
29365,29366,20-0001NM-MX-015-0200-09000280,1,01/15/2000,2000,1,33.485,-117.768333,090.0 028.0
29366,29367,20-0001NM-MX-015-0834-08670330,1,01/15/2000,2000,1,33.888333,-118.493333,086.7 033.0
